TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,t_rxn,t_iso,t_100,t_pseudo,F_X,Ro,logRo,P,logP,H,logH,Acetyl,Yield
15,443.15,5,0,1,10,5,29,10,2.413793103,7.586206897,8.275862069,23.86363636,1150.955568,7.048347805,99.53007598,4.60045987,154.3257006,5.039065308,4.041182796,10.05714286
50,453.15,19,0,0.42,50,0,0,50,0,50,0,12.95454545,11336.1478,9.335751819,1055.888989,6.962138335,1721.73712,7.451089014,2.128411429,63.97435897
17.62913279,493.15,40,0,0.425,12.88888889,4.740243902,41.13712375,12.88888889,2.91707317,9.97181572,8.26504065,20.9,44000.61254,10.69195883,4065.806472,8.310367396,7944.866023,8.980281216,3.508,39.24475074
14.78996492,433.15,6,0,0.595,14.78996492,0,0,14.78996492,0,14.78996492,0,15.1,864.1492657,6.761745515,67.01052113,4.204849639,98.57180101,4.590785227,4.269325153,6.30361683
4.017857143,513.15,40,0,5,4.017857143,0,0,4.017857143,0,4.017857143,0,23.78409091,53224.50211,10.88227414,4182.305493,8.338617927,8852.310437,9.08843377,3.508,17.00948021
55.88235294,433.15,6,0,22.5,40,15.88235294,8.5,40,7.058823529,32.94117647,25.88235294,20,2337.123233,7.756676064,181.2324004,5.199780188,266.591034,5.585715776,2.128411429,10.063
160,433.15,10,0,4,120,40,3.375,120,17.77777778,102.2222222,65.18518519,11.932,7011.369698,8.855288353,543.6972013,6.298392477,799.7731019,6.684328065,2.128411429,64.36473349
45,475.15,8,0,8,26.62395833,18.37604167,9.632107023,26.62395833,10.58958333,16.034375,31.56111111,26.36363636,26824.36075,10.19706574,2631.742028,7.875401274,4758.33046,8.467652142,2.128411429,107.9896552
53.75,448.15,10,0,8,35,18.75,8,35,9.375,25.625,31.25,18.86363636,5653.860268,8.640093824,509.5558585,6.233539481,810.4570837,6.697598389,2.128411429,22.95421687
20.37135743,453.15,40,0,5,20.37135743,0,0,20.37135743,0,20.37135743,0,23.78409091,4618.654372,8.43785868,430.1978402,6.064245196,701.4824455,6.553195875,3.508,4.13443895
110.0146133,433.15,6,0,5,88.92086331,21.09375,6.4,88.92086331,9.375,79.54586331,34.375,15.02,5195.475388,8.555543408,402.8835377,5.998647532,592.6376223,6.38458312,4.269325153,43.62566627
78.75,448.15,8,0,8,60,18.75,8,60,9.375,50.625,31.25,18.86363636,9692.331889,9.179090325,873.5243288,6.772535981,1389.355001,7.23659489,2.128411429,37.70216867
46.11640212,448.15,6,0,5,42.11640212,4,37.5,42.11640212,2,40.11640212,6.666666667,15.1,6803.435788,8.825183026,613.1616982,6.418628683,975.2438981,6.882687592,4.269325153,54.1474271
